Buchungstag;Valuta;Referenz;Auftraggeber_Empfänger;Buchungstext;Betrag_EUR;Saldo_EUR;Belegdatei
2026-05-20;2026-05-20;HD-SONDER-202605;Havelbogen Bank eG;Sondertilgung HD-2014-731;-3500;16105.15;kontoauszuege/Haushalt_2026-05.pdf
2026-05-22;2026-05-22;202605-MARKT2;Lebensmittelmarkt Potsdam;Kartenzahlung Haushalt;-169.16;15935.99;kontoauszuege/Haushalt_2026-05.pdf
2026-05-26;2026-05-26;202605-GEB;Waldsee Versicherung;Wohngebäude / Monatsrate;-39.80;15896.19;kontoauszuege/Haushalt_2026-05.pdf
2026-05-28;2026-05-28;202605-DROGERIE;Drogerie am Park;Kartenzahlung / Haushalt und Schulbedarf;-78.35;15817.84;kontoauszuege/Haushalt_2026-05.pdf
2026-06-01;2026-06-01;202605-GEB-HAUSHALT;Havelbogen Bank eG;Kontoführung / Monatsentgelt;-6.90;15810.94;kontoauszuege/Haushalt_2026-06.pdf
2026-06-02;2026-06-02;202606-M-H;Mara Bergmann;Übertrag Privatkonto 4401;2300;18110.94;kontoauszuege/Haushalt_2026-06.pdf
2026-06-03;2026-06-03;202606-J-H;Jonas Bergmann;Übertrag Privatkonto 4402;950;19060.94;kontoauszuege/Haushalt_2026-06.pdf
2026-06-05;2026-06-05;202606-HD;Havelbogen Bank eG;Annuität HD-2014-731;-1380;17680.94;kontoauszuege/Haushalt_2026-06.pdf
2026-06-08;2026-06-08;202606-ENERGIE;Stadtwerke Potsdam;Strom und Wärme / Abschlag 7318;-310;17370.94;kontoauszuege/Haushalt_2026-06.pdf
2026-06-10;2026-06-10;202606-ESSEN;Schulcatering Havelküche;Jule / Oskar / Monatsabrechnung;-124.60;17246.34;kontoauszuege/Haushalt_2026-06.pdf
2026-06-12;2026-06-12;202606-SPORT;Turnverein Bornim;Beiträge Jule und Oskar;-48;17198.34;kontoauszuege/Haushalt_2026-06.pdf
2026-06-15;2026-06-15;202606-NETZ;Telekommunikation;Internet Kastanienweg 18;-44.90;17153.44;kontoauszuege/Haushalt_2026-06.pdf
2026-06-18;2026-06-18;202606-MARKT1;Markt am Bornstedter Feld;Kartenzahlung Haushalt;-204.43;16949.01;kontoauszuege/Haushalt_2026-06.pdf
2026-06-22;2026-06-22;202606-MARKT2;Lebensmittelmarkt Potsdam;Kartenzahlung Haushalt;-173.16;16775.85;kontoauszuege/Haushalt_2026-06.pdf
2026-06-26;2026-06-26;202606-GEB;Waldsee Versicherung;Wohngebäude / Monatsrate;-39.80;16736.05;kontoauszuege/Haushalt_2026-06.pdf
2026-06-29;2026-06-29;202606-DROGERIE;Drogerie am Park;Kartenzahlung / Haushalt und Schulbedarf;-80.35;16655.70;kontoauszuege/Haushalt_2026-06.pdf
2026-06-30;2026-06-30;202606-GEB-HAUSHALT;Havelbogen Bank eG;Kontoführung / Monatsentgelt;-6.90;16648.80;kontoauszuege/Haushalt_2026-06.pdf
2026-07-02;2026-07-02;202607-M-H;Mara Bergmann;Übertrag Privatkonto 4401;2300;18948.80;kontoauszuege/Haushalt_2026-07.pdf
2026-07-03;2026-07-03;202607-J-H;Jonas Bergmann;Übertrag Privatkonto 4402;950;19898.80;kontoauszuege/Haushalt_2026-07.pdf
2026-07-06;2026-07-06;202607-HD;Havelbogen Bank eG;Annuität HD-2014-731;-1380;18518.80;kontoauszuege/Haushalt_2026-07.pdf
2026-07-08;2026-07-08;202607-ENERGIE;Stadtwerke Potsdam;Strom und Wärme / Abschlag 7318;-310;18208.80;kontoauszuege/Haushalt_2026-07.pdf
